FriendRel,PersonA_ID,PersonB_ID,DateOfFriendship,Desc
205,171,65,790212,Online Friend
206,91,159,700828,Relative
207,196,89,041222,Other
208,37,182,861020,College Friend
209,128,12,230317,Other
210,177,5,900407,Family
211,190,123,720823,Relative
212,192,176,090507,College Friend
213,64,162,700203,Friend
214,190,4,120824,College Friend
215,30,88,121023,Online Friend
216,7,196,790105,Other
217,122,79,201220,Online Friend
218,26,17,870707,College Friend
219,96,52,830222,Online Friend
220,32,48,890305,Friend
221,126,193,190707,Partner
222,50,20,850830,Relative
223,22,35,800716,Relative
224,5,156,790524,Online Friend
225,129,175,980201,Partner
226,150,181,191128,Online Friend
227,91,185,990226,Online Friend
228,10,41,171219,Relative
229,140,29,950926,Other
230,195,120,970110,Other
231,11,52,000724,Partner
232,118,40,741002,Online Friend
233,74,25,790128,Partner
234,90,35,811214,Other
235,154,132,721124,Partner
236,144,10,080707,Family
237,66,97,000617,Online Friend
238,192,112,810111,Relative
239,126,134,100407,Family
240,61,152,121218,Friend
241,191,177,841224,Other
242,99,32,790423,Relative
243,192,125,091031,Friend
244,199,166,010314,Family
245,120,52,170426,Partner
246,119,49,080919,Partner
247,175,143,780813,Partner
248,28,44,150214,College Friend
249,164,129,770309,Family
250,179,77,110823,Friend
251,181,4,961007,Other
252,125,72,040403,Friend
253,182,173,220919,Friend
254,12,117,010514,Partner
255,102,158,840120,Other
256,182,171,960902,College Friend
257,18,35,700412,Other
258,115,38,960113,Relative
259,11,54,000223,Other
260,158,190,090811,Relative
261,142,29,961108,Relative
262,94,133,860619,Friend
263,128,55,900127,College Friend
264,9,19,780923,Relative
265,23,159,101106,Partner
266,163,148,801104,Other
267,38,128,101212,College Friend
268,148,96,710110,College Friend
269,57,168,010706,Family
270,9,40,820128,Family
271,107,90,930706,College Friend
272,182,30,730629,Other
273,57,160,740513,Partner
274,6,42,890123,Partner
275,93,99,080703,Friend
276,148,135,750311,Family
277,10,184,040323,Relative
278,191,131,011212,Other
279,133,183,020310,Friend
280,24,103,980315,Friend
281,20,109,810219,Relative
282,73,82,710209,Friend
283,80,77,730414,College Friend
284,99,21,921109,Family
285,128,190,140102,College Friend
286,198,188,971108,College Friend
287,121,56,110510,Online Friend
288,163,57,730601,Relative
289,141,108,890727,Friend
290,94,46,841006,Relative
291,156,58,760521,Relative
292,184,2,821021,Friend
293,27,183,990418,Online Friend
294,55,41,050626,Friend
295,21,28,770508,Relative
296,89,17,060309,Friend
297,54,182,970603,Online Friend
298,26,199,930919,Relative
299,127,57,040820,Family
300,11,76,160809,Online Friend
301,136,180,920324,Family
302,51,195,100815,Online Friend
303,49,121,930226,Other
304,102,106,760424,Relative
305,9,104,140104,Partner
306,65,1,060521,Other
307,67,148,121107,Friend
308,64,70,771216,Partner
309,6,69,200206,College Friend
310,1,155,930819,College Friend
311,101,154,180723,Relative
312,89,47,130529,Partner
313,45,110,970922,College Friend
314,68,11,030318,Relative
315,39,166,190614,Family
316,196,123,751206,Friend
317,118,6,950412,College Friend
318,59,98,901212,College Friend
319,89,171,170224,College Friend
320,99,178,230225,Friend
321,61,177,891128,Online Friend
322,58,186,800623,Online Friend
323,198,171,060304,Partner
324,141,17,780118,Family
325,2,83,180131,Other
326,181,96,041015,College Friend
327,82,104,230331,Relative
328,56,22,780323,Family
329,170,199,000517,Family
330,133,22,791021,Relative
331,69,189,990805,Friend
332,64,56,071130,Friend
333,78,7,871213,Relative
334,114,42,080523,Other
335,67,129,141211,College Friend
336,157,160,121021,Partner
337,172,145,710407,Partner
338,49,193,130711,Partner
339,188,69,920614,Family
340,84,32,180417,Partner
341,13,53,920417,Other
342,190,52,800611,Partner
343,140,180,850524,College Friend
344,27,134,790527,Family
345,77,161,750203,College Friend
346,114,194,950207,College Friend
347,162,17,820521,Partner
348,113,166,211219,Partner
349,173,143,100731,Relative
350,103,55,701115,Family
351,98,184,870820,Other
352,39,27,060413,Other
353,50,61,790223,College Friend
354,48,59,890930,Friend
355,48,169,800127,Family
356,42,97,940918,Relative
357,82,63,140616,Partner
358,186,24,210304,College Friend
359,193,198,040715,Other
360,128,50,880912,Relative
361,115,25,030627,College Friend
362,73,56,060612,Other
363,69,45,911014,Partner
364,25,192,931028,Other
365,134,108,910801,Other
366,181,130,901122,Family
367,79,107,860425,Relative
368,158,6,911203,College Friend
369,99,35,950314,Family
370,118,143,871018,Relative
371,80,1,980527,Online Friend
372,71,88,850315,Other
373,88,91,001015,Friend
374,57,182,070405,College Friend
375,176,196,890114,Relative
376,136,20,920721,Online Friend
377,71,179,960208,Relative
378,128,11,750107,Other
379,125,146,880727,Family
380,114,100,980822,Online Friend
381,91,18,230311,Online Friend
382,10,71,900410,College Friend
383,149,179,870417,Partner
384,66,68,140221,College Friend
385,91,137,171012,Partner
386,108,123,160126,Partner
387,107,95,880101,College Friend
388,126,198,230628,Family
389,81,127,800811,Friend
390,148,160,090923,College Friend
391,41,33,150222,Partner
392,10,26,151017,Other
393,17,76,801221,Partner
394,153,35,101111,Partner
395,199,70,751223,Other
396,102,183,730810,Other
397,178,37,780104,Partner
398,112,144,820127,Friend
399,173,24,760328,Other
400,200,48,871126,Partner
401,6,60,901024,Family
402,116,191,160201,Relative
403,1,74,910801,Family
404,60,88,110331,Family
405,137,34,780203,Online Friend
406,91,70,901216,College Friend
407,124,11,160822,Partner
408,9,83,820516,Family
409,54,68,000805,Online Friend
410,188,167,870515,Other
411,4,27,090129,Partner
412,193,28,750822,Other
413,15,178,900602,Family
414,92,157,920706,Online Friend
415,169,10,940817,Friend
416,154,106,910519,Partner
417,65,109,050917,Family
418,135,75,800409,Other
419,185,151,151022,Partner
420,200,152,200929,Family
421,34,134,080521,Partner
422,93,14,180503,College Friend
423,177,73,931226,Online Friend
424,41,14,860723,Online Friend
425,9,39,191216,College Friend
426,61,24,210703,Partner
427,154,119,870312,Other
428,116,146,850720,Other
429,100,160,161228,Other
430,37,23,130603,Relative
431,51,30,730511,Relative
432,35,24,120616,Relative
433,167,145,901029,Partner
434,6,100,990824,Partner
435,41,108,970314,Family
436,162,108,920128,Partner
437,116,72,101030,Online Friend
438,22,174,841118,College Friend
439,136,89,880502,Other
440,163,83,850110,Relative
441,44,173,020916,Partner
442,175,83,700920,Partner
443,137,17,070510,Other
444,176,102,790901,Family
445,37,190,130702,Family
446,122,10,110921,College Friend
447,33,98,900419,Friend
448,94,130,191209,Online Friend
449,35,81,160611,Partner
450,2,12,201111,College Friend
451,82,18,211007,Friend
452,36,109,980301,College Friend
453,128,184,950527,Family
454,173,148,980614,Friend
455,16,79,740111,Partner
456,60,104,820326,Partner
457,106,69,181017,Family
458,92,41,981219,Family
459,76,42,191031,Partner
460,171,122,020220,Family
461,87,2,700630,Online Friend
462,47,72,010418,Relative
463,14,107,081203,Relative
464,104,152,760227,Partner
465,93,188,141025,Online Friend
466,194,55,141214,Online Friend
467,58,110,131226,Other
468,98,13,790811,Friend
469,103,110,790822,College Friend
470,120,200,780122,Online Friend
471,115,197,030707,Family
472,108,165,080129,Other
473,169,43,011003,Family
474,198,84,960705,Online Friend
475,186,8,190614,Family
476,87,188,151122,Friend
477,36,112,800304,Friend
478,143,57,050321,Relative
479,32,108,991122,College Friend
480,196,19,901112,College Friend
481,156,2,880428,Partner
482,141,74,151023,Family
483,74,193,210301,Online Friend
484,185,179,821011,Friend
485,33,141,020116,College Friend
486,159,132,220514,Other
487,23,182,740118,College Friend
488,109,5,020730,Relative
489,135,180,220302,Relative
490,103,193,100613,Online Friend
491,85,166,910822,Partner
492,96,36,710130,College Friend
493,141,89,991229,Other
494,106,125,960311,Other
495,158,176,180602,Other
496,108,156,791128,Other
497,79,135,040610,Other
498,187,93,930323,Partner
499,129,143,970806,Family
500,42,25,950320,College Friend
501,1,114,990801,Partner
502,43,134,080117,College Friend
503,157,41,951008,Friend
504,23,165,881126,Friend
505,10,136,870402,Family
506,79,62,800629,Online Friend
507,75,109,030128,Other
508,67,143,090821,College Friend
509,170,26,190205,Online Friend
510,2,46,841002,Online Friend
511,31,17,990715,Friend
512,187,144,070801,Family
513,162,74,180131,College Friend
514,162,151,721031,Family
515,12,33,780915,College Friend
516,11,105,750808,Other
517,9,70,771115,Relative
518,103,191,210603,Partner
519,126,196,940522,Family
520,178,8,220521,College Friend
521,118,29,820108,Partner
522,79,69,010907,Partner
523,9,191,770206,College Friend
524,10,28,080108,Relative
525,179,10,900106,Relative
526,30,190,970908,Partner
527,83,92,960610,College Friend
528,166,174,221026,Other
529,45,34,020811,Relative
530,181,10,060815,Other
531,167,97,151030,Partner
532,133,111,110417,Partner
533,108,71,940616,Relative
534,101,9,160630,College Friend
535,10,1,211025,Partner
536,105,21,851103,Friend
537,119,33,021206,Family
538,121,79,080321,Other
539,79,49,160114,Friend
540,89,72,121117,Partner
541,4,18,210731,Relative
542,170,103,860531,Friend
543,90,162,060527,College Friend
544,108,31,850513,Partner
545,45,125,931006,Other
546,195,29,940718,Relative
547,154,77,811230,Friend
548,163,17,150215,Online Friend
549,103,108,920501,Relative
550,11,37,940708,College Friend
551,57,167,191002,Relative
552,189,22,900320,College Friend
553,51,95,881103,Family
554,128,70,000404,Relative
555,126,57,960323,Friend
556,44,176,011130,College Friend
557,137,127,910716,Partner
558,151,30,050915,Relative
559,117,186,830316,Relative
560,190,45,190123,Online Friend
561,67,81,181031,Other
562,15,113,001001,Relative
563,118,77,101003,Other
564,163,183,910812,Relative
565,98,194,751026,Online Friend
566,194,103,731214,Online Friend
567,31,155,170527,Other
568,34,151,011017,Online Friend
569,159,55,940121,Relative
570,95,109,190926,Friend
571,36,197,070223,Relative
572,86,188,100515,Partner
573,63,38,700211,Partner
574,143,63,011210,Online Friend
575,40,71,771118,Friend
576,57,83,800724,Friend
577,21,80,211030,College Friend
578,121,111,131213,Online Friend
579,7,180,920131,Partner
580,8,41,181025,College Friend
581,36,67,140228,Family
582,147,145,931226,College Friend
583,113,135,790206,Friend
584,81,156,750424,College Friend
585,80,152,080611,College Friend
586,100,98,120428,Online Friend
587,120,90,911224,Family
588,181,196,840423,Partner
589,103,63,020124,Online Friend
590,118,87,090410,Online Friend
591,20,33,970802,Relative
592,43,97,750116,Friend
593,105,157,810406,Online Friend
594,81,28,910516,Friend
595,117,157,930821,Friend
596,30,82,830815,Friend
597,100,112,840521,Other
598,90,53,791018,College Friend
599,42,29,900422,Relative
600,43,144,150308,Online Friend
601,154,117,921127,Family
602,37,74,200406,Online Friend
603,153,60,210912,Partner
604,112,18,170713,Family
605,106,49,160614,Family
606,100,39,720814,Friend
607,94,101,770401,Other
608,4,43,050626,Online Friend
609,137,119,070409,College Friend
610,76,196,700702,Friend
611,127,65,190411,Family
612,34,153,960819,Relative
613,65,79,160514,Partner
614,162,183,900628,Friend
615,81,106,881024,Online Friend
616,3,5,060704,Family
617,64,116,100811,Friend
618,59,81,920507,College Friend
619,3,54,880107,College Friend
620,173,94,150819,Other
621,59,57,940307,Friend
622,39,165,040615,Online Friend
623,116,101,000309,Friend
624,8,6,060708,Friend
625,168,63,821223,Partner
626,92,200,820614,Family
627,174,104,101212,Friend
628,34,122,850307,Relative
629,51,5,980912,Friend
630,178,27,980110,Partner
631,80,151,130508,Relative
632,62,16,970207,Family
633,71,190,790717,College Friend
634,156,13,721209,Friend
635,106,172,930205,College Friend
636,197,42,990804,College Friend
637,114,199,850113,College Friend
638,29,117,850521,Other
639,39,20,220625,Other
640,129,185,900517,Relative
641,159,1,840211,Relative
642,117,35,890803,Family
643,97,136,000720,College Friend
644,69,74,970202,Friend
645,168,51,201123,College Friend
646,103,89,960216,College Friend
647,143,157,181024,Friend
648,45,74,781018,Other
649,94,104,960601,Friend
650,47,32,950911,Relative
651,174,118,790714,Relative
652,122,42,820814,Other
653,19,16,220804,College Friend
654,65,4,700321,Partner
655,92,14,800504,College Friend
656,97,141,870729,College Friend
657,76,137,010614,Online Friend
658,106,53,730331,Family
659,14,48,810411,College Friend
660,77,31,870811,Friend
661,160,68,171008,Other
662,76,118,911023,Friend
663,8,195,830131,College Friend
664,67,123,170422,Partner
665,50,83,911125,Family
666,131,66,190110,Relative
667,17,62,091211,College Friend
668,114,128,860605,Partner
669,84,85,220515,Online Friend
670,183,6,900709,Partner
671,108,139,170310,Friend
672,84,157,050217,College Friend
673,85,6,800218,College Friend
674,52,114,750819,Friend
675,146,163,770512,Family
676,124,111,820919,Relative
677,174,85,840428,College Friend
678,64,18,960616,Relative
679,125,140,780722,Partner
680,185,182,070803,Friend
681,30,114,771105,College Friend
682,7,198,930921,College Friend
683,140,87,120519,Family
684,90,110,041124,Online Friend
685,52,40,731030,Partner
686,13,66,151026,Online Friend
687,148,132,071227,Relative
688,191,151,750613,Relative
689,97,124,790918,Online Friend
690,25,77,820421,Online Friend
691,8,94,820119,Other
692,181,112,960306,Relative
693,18,78,061007,Online Friend
694,88,102,880920,Online Friend
695,123,136,840411,Online Friend
696,166,64,860106,College Friend
697,152,39,790915,Other
698,76,72,711006,Other
699,192,10,780604,Partner
700,189,103,011027,Friend
701,8,155,160903,Family
702,49,99,090824,Other
703,40,97,000209,Other
704,88,63,021119,Other
705,22,25,740530,College Friend
706,145,168,140510,Family
707,154,44,010517,College Friend
708,171,67,090607,Other
709,122,57,721223,College Friend
710,81,101,201211,Family
711,134,13,110405,College Friend
712,55,124,150224,Family
713,29,152,720627,Online Friend
714,85,157,980510,Partner
715,199,194,911110,Relative
716,29,48,990114,Friend
717,63,49,171120,Friend
718,170,35,080527,College Friend
719,34,183,901119,Family
720,31,153,970801,Relative
721,20,78,140525,Friend
722,134,191,820908,Family
723,1,183,750904,Other
724,132,27,891012,College Friend
725,12,17,130718,Family
726,114,98,131226,Other
727,88,147,911201,College Friend
728,51,60,970118,Online Friend
729,30,18,150127,Relative
730,67,166,910416,Online Friend
731,82,186,090514,Partner
732,178,74,011028,Family
733,49,165,790909,Relative
734,25,75,051118,Relative
735,199,134,040808,Relative
736,129,51,000818,Partner
737,126,5,160309,Friend
738,25,46,221031,Relative
739,173,68,971103,Friend
740,33,4,870810,Online Friend
741,180,50,200517,Online Friend
742,130,45,920212,Other
743,110,35,770320,Partner
744,37,131,190126,Friend
745,75,166,081026,Online Friend
746,194,183,841015,Partner
747,95,123,810523,Other
748,120,108,180723,Online Friend
749,29,52,950106,Online Friend
750,33,3,780625,Other
751,156,141,021016,Friend
752,26,119,700720,Friend
753,129,78,760310,Friend
754,193,95,780713,Family
755,63,117,080909,Friend
756,112,113,190211,Friend
757,113,141,020525,Friend
758,63,186,220620,Other
759,181,68,211207,Friend
760,24,125,190320,College Friend
761,10,111,840516,Relative
762,17,199,181124,Family
763,16,149,960605,Partner
764,155,32,150113,Online Friend
765,156,78,840128,Friend
766,55,42,050223,Partner
767,21,127,220222,Relative
768,168,50,221013,Other
769,30,129,050427,Relative
770,47,53,950429,College Friend
771,23,18,710426,Other
772,29,21,180525,Relative
773,23,90,750312,Other
774,72,128,160814,Relative
775,183,144,820520,Other
776,168,85,150129,Partner
777,25,158,220106,Friend
778,178,125,790902,College Friend
779,29,50,120410,College Friend
780,111,40,950728,Family
781,14,13,821210,College Friend
782,155,109,200811,College Friend
783,13,31,211031,Friend
784,16,99,010210,Family
785,86,172,750110,Friend
786,58,90,100116,Family
787,55,164,710906,Relative
788,190,15,030318,College Friend
789,8,175,870529,Partner
790,1,111,200930,Other
791,16,51,850127,Relative
792,143,102,181210,Other
793,15,1,980725,Relative
794,48,154,100723,Friend
795,30,72,230813,Partner
796,102,34,110114,Family
797,24,146,870826,Online Friend
798,30,105,091130,Relative
799,88,172,030827,Other
800,97,7,710322,College Friend
801,10,81,930420,Family
802,164,33,041220,Relative
803,70,101,810222,Family
804,8,126,151026,Friend
805,160,180,940826,Partner
806,38,5,910510,College Friend
807,192,122,710830,Other
808,24,192,800426,Other
809,118,4,700615,Friend
810,181,124,980719,Relative
811,93,192,961215,Friend
812,170,96,950317,Relative
813,162,187,070125,Partner
814,20,99,820227,Online Friend
815,25,98,720922,Online Friend
816,102,172,120418,Relative
817,33,85,160125,Relative
818,20,181,060405,Other
819,194,71,970721,Relative
820,130,97,000426,Relative
821,19,133,970805,College Friend
822,160,82,760108,Relative
823,8,150,160422,Online Friend
824,14,27,151213,Online Friend
825,143,68,110814,Other
826,97,25,891226,College Friend
827,105,36,120505,Friend
828,135,121,131030,Family
829,35,149,830817,Relative
830,173,176,050507,Partner
831,36,133,901011,College Friend
832,200,3,910921,Friend
833,70,161,990221,Family
834,161,193,190624,Family
835,15,158,820529,Friend
836,37,145,060915,Online Friend
837,177,123,710705,Partner
838,114,66,120620,Online Friend
839,81,139,000312,College Friend
840,82,112,020204,Other
841,37,199,080225,Other
842,169,182,130903,Partner
843,64,3,790906,Family
844,59,177,850505,Partner
845,174,36,920322,College Friend
846,3,2,031220,Partner
847,43,60,710508,Other
848,91,180,130117,College Friend
849,131,181,940803,Partner
850,121,28,740830,Friend
851,32,44,730315,Family
852,23,164,730119,Family
853,58,120,070707,Partner
854,35,165,970814,Online Friend
855,3,130,840410,Partner
856,36,98,210623,Friend
857,104,15,810403,College Friend
858,174,81,771112,Relative
859,165,135,980617,Friend
860,24,124,710501,Relative
861,65,189,920221,Relative
862,96,97,180107,Partner
863,15,59,780618,Other
864,22,99,220205,Partner
865,110,117,711022,College Friend
866,97,147,090119,Other
867,149,68,731120,Partner
868,173,190,930927,Family
869,94,33,700203,Family
870,39,155,221212,Other
871,33,155,881226,Other
872,66,92,890825,Family
873,198,150,140513,Online Friend
874,83,193,960227,College Friend
875,6,155,850928,Family
876,42,127,130628,Family
877,80,138,771231,Partner
878,55,23,040201,Friend
879,158,21,201029,Partner
880,25,26,941025,Relative
881,10,73,100912,Family
882,25,5,860104,Partner
883,14,45,170716,Partner
884,152,66,800606,Family
885,196,178,120325,College Friend
886,164,9,911202,Friend
887,49,199,981111,Online Friend
888,110,74,951013,Online Friend
889,113,12,731022,Family
890,75,152,071225,Relative
891,115,109,101208,College Friend
892,194,37,920523,Other
893,171,145,120523,Online Friend
894,126,1,730503,Friend
895,6,58,800416,Family
896,17,100,850204,Family
897,114,117,870910,Family
898,128,42,960713,Online Friend
899,56,131,210616,College Friend
900,19,53,861003,Partner
901,167,99,140622,Partner
902,127,149,090828,Partner
903,169,114,850226,Friend
904,11,98,130719,Family
905,53,111,840730,College Friend
906,177,131,710212,College Friend
907,70,45,970408,Relative
908,165,32,751116,Other
909,103,118,700421,Family
910,178,48,070205,Online Friend
911,158,103,950108,Other
912,159,34,090821,Relative
913,18,171,810603,Online Friend
914,3,185,160426,Family
915,51,126,920304,Friend
916,17,13,780710,Family
917,89,146,161108,Family
918,7,159,880614,Relative
919,42,4,810315,Friend
920,91,52,060709,Other
921,170,34,990925,Partner
922,156,94,960624,Online Friend
923,129,120,951016,College Friend
924,63,80,790423,Online Friend
925,106,92,020816,Relative
926,173,174,161125,Friend
927,11,2,010615,Online Friend
928,123,27,040802,Relative
929,72,146,770728,Online Friend
930,155,24,980218,Relative
931,164,65,871010,Online Friend
932,93,47,230323,Partner
933,104,68,931110,Other
934,74,140,160313,College Friend
935,5,148,980217,Family
936,34,63,960511,Other
937,100,170,180528,Other
938,88,127,800501,Other
939,86,85,800408,Other
940,193,116,031001,College Friend
941,3,26,041216,Online Friend
942,20,13,820125,Online Friend
943,192,62,230715,Friend
944,168,106,730807,Other
945,67,6,740929,Relative
946,164,24,760112,Online Friend
947,156,133,010302,Friend
948,164,173,080816,Relative
949,101,74,850110,Friend
950,190,141,930901,Friend
951,175,84,880608,College Friend
952,168,11,190331,College Friend
953,58,108,031103,Relative
954,188,28,140226,Friend
955,44,93,230608,Partner
956,120,198,220629,College Friend
957,5,92,230822,Relative
958,81,15,080925,Family
959,136,49,780530,Family
960,88,108,911021,Other
961,168,53,131212,Other
962,167,93,950309,College Friend
963,160,194,860727,Online Friend
964,20,126,220115,Other
965,161,102,171011,Partner
966,8,179,911019,Family
967,112,75,031209,Other
968,108,197,230801,Family
969,24,174,200518,Online Friend
970,49,149,871116,Family
971,25,184,840630,Relative
972,161,142,230708,Partner
973,152,183,220301,Family
974,104,179,721214,Relative
975,28,46,881209,Partner
976,149,83,891010,Relative
977,110,38,750622,Online Friend
978,98,132,780213,Relative
979,74,40,720617,Other
980,102,71,760409,Friend
981,76,191,011011,Relative
982,48,199,840706,Family
983,188,6,190606,Friend
984,161,190,730215,College Friend
985,107,136,000607,Online Friend
986,80,112,721108,Partner
987,180,4,761017,Other
988,157,189,880127,Partner
989,163,200,891020,Family
990,101,128,940626,Partner
991,96,42,030919,College Friend
992,138,84,970721,Friend
993,122,108,101121,Partner
994,52,127,051127,Relative
995,78,75,141124,College Friend
996,177,75,000102,Partner
997,121,8,130430,Family
998,95,189,780809,Online Friend
999,147,163,781009,College Friend
1000,159,25,850915,College Friend
1001,79,77,920405,Other
1002,60,181,040305,Partner
1003,159,149,900112,Partner
1004,73,37,071101,Other
1005,137,9,010529,Friend
1006,178,192,220916,Online Friend
1007,190,33,130310,Relative
1008,200,87,121120,Other
1009,196,170,740802,Relative
1010,19,136,700102,Partner
1011,53,181,890512,Relative
1012,117,173,190922,Family
1013,27,36,150104,Online Friend
1014,114,138,230629,Partner
1015,33,151,001024,Other
1016,164,185,730214,College Friend
1017,123,139,930709,Online Friend
1018,81,185,860621,Online Friend
1019,129,159,700602,Partner
1020,80,198,870711,Family
1021,106,139,160317,Relative
1022,23,89,931001,Friend
1023,140,185,960518,Relative
1024,124,28,040524,College Friend
1025,151,116,151221,Partner
1026,171,24,940614,Online Friend
1027,146,129,760917,Relative
1028,94,86,960505,Online Friend
1029,98,67,111201,Family
1030,198,167,880610,Friend
1031,138,144,750325,Family
1032,17,195,100531,Relative
1033,139,115,010121,Online Friend
1034,183,50,800212,Family
1035,106,110,170310,Partner
1036,177,189,171026,Friend
1037,36,132,860812,Friend
1038,183,147,760923,Other
1039,9,55,151201,Family
1040,47,8,860824,Friend
1041,58,12,110614,Relative
1042,106,18,890719,Partner
1043,29,112,700919,Relative
1044,82,196,991118,Partner
1045,147,47,051018,Family
1046,37,8,990905,Family
1047,87,18,751106,Other
1048,151,163,710511,Friend
1049,179,41,910504,Friend
1050,6,59,070823,College Friend
1051,186,131,720120,College Friend
1052,46,17,051110,Partner
1053,89,10,960420,Family
1054,73,21,710911,Relative
1055,128,89,861022,Other
1056,66,158,060701,Family
